version | software | pay | middle | update | file | fault | save | groove | program | nerve | charge | disk | brand | processor | speed | cause | problem | fact | day | age | user | work | have | advice | hold | breath,"I just recently converted to this version from Office 2004 for Mac, and I wish I'd just kept my original software. This version is buggy, slow, and crashes likes someone's paying it to do so I can't tell you how many times Word has crashed in the middle of updating an important file and the supposed ""AutoRecovery"" file is from hours earlier. Yes, it's my own fault for not saving more often, but when you're in the groove, you're in the groove. That doesn't excuse this program's fault, and they've got some nerve charging this much for an update that's not worth the disk it's burned on. I won't even talk about how slow PowerPoint is. It takes a few minutes to open on my brand-new iMac as well as on my 2007 MacBook, so I know it's not processor speed that's causing the problem. In fact, the only program I can recommend on this disk is Excel, and that's bc it's pretty hard to screw that one up.

In this day and age, it's pretty much impossible to be a Mac user working across platforms without having Office, so if you must, take my advice and just stick to 2004. Hopefully they'll get rid of the bugs in the next update, but I'm not holding my breath.","I have been using this version because I didn't realize that I need to update my software every other 12 months. I didn't find any faults in it. I tried it on my old one, and found that it fixed my"
tech | support | fact | method | product | response | answer | problem | question | issue | case,"If you have any problems you will not be able to get any tech support. In fact it is highly unlikely that you will ever be able to reach anyone at Acronis. I tried repeatedly using every method possible and nothing worked. Look for another product. Definitely not recommended.
The product will not work with external drives.
After 2 months I finally got a response but it was not an answer to my original problem but a just a question as to whether the issue was resolved! To solve my problem I bought another product that worked fine and told this to Acronis. Their new response was another question as to whether they could consider the case resolved. These people are really unbelievable. Strongly not recommended.",I really love using these products. I didn't realize that they are so expensive and that was just a bonus for me. I have no problem with them and would love to find a solution. If you have a question about
look | hood | information | engine | user | interface | banner | home | screen | appear | insight | sub | menu | link | power | eraser | tool | cloud | way | performance | version | security | suite | concern | instal | moment | interest | time | install | revisit | family | go | year | review | alternative | need | pc | installation | room | improvement | de | emphasis | software | move | cd | option | download | site | choice | exist | conflict | restart | suggestion | decision | loss | network | mapping | reset | headache | try | upgrade | capability | route | incident | feed | laziness | following | excerpt | fan | product | preview | array | application | complement | manufacturer | description | firewall | support | awareness | surf | curiosity | range | assignment | log | router | storage | fact | difference | addition | provide | include | purchase | run | registry | cleanup | utility | shareware | app | manager | convenience | scanning,"Because, while I'm not about to go looking under the hood and I can't see where the mechanics published any new exciting information about modifications to the engine, all I see are some rather inconsequential cosmetic changes to the user interface like the banner on the home screen now appearing as white rather than black ,Insight being relegated to a sub-menu,a link to download a power eraser tool if all else fails and  something about a cloud there's no way I'll ever use. So, if you were satisfied with the performance of the 2013 version of this security suite, nothing about this version should cause any concern (...well, other than installing it which we'll get to in a moment). If the interest is a first time install or a revisit to the Norton family, I am going to reiterate much of last year's review, because for the typical home user, I still believe this security alternative is among the most comprehensive and easiest to use packages presently available whether the need is for one PC or multiples.

However, as far as installation is concerned, there is unquestionably room for improvement. With the de-emphasis of internal optical drives, many software developers are moving toward downloadable products. Norton 360 still has a physical CD available but the recommended option is download from the Norton site, so naturally my choice is to install from the CD which is supposed to upgrade the existing version...yeah, right or more accurately.. yeah, but not without encumbrances like a conflict between two versions that is not resolvable without a hard restart. My suggestion would be to delete the old version and do a fresh install if the decision is to go with CD install. It might mean loss of histories, existing network mapping and resetting preferences but it might also be less of a headache than trying to transfer them via the supposed upgrade capability. From my second PC, I did go the online route and it worked without incident.

That said, and feeding into my unabashedly admitted laziness, the following is an excerpt from last year's review, and as I am a fan of the 360 product, probably a preview of my review of next year's version:

Norton 360 is a comprehensive security suite with an array of processes and tasks consolidated in a single application. The complement of features can be found in the manufacturer's description above. Each of the features could be addressed through other resources and admittedly, a few of them might well be more effectively administered by standalone apps, but for the user who wants to set it and forget it, this product is among the top choices.

For less knowledgeable users, who may desire to find out more about security protocols and firewall settings, there are support functions here that can assist and increase awareness of threats they may not have even known they could monitor, of particular interest if surfing curiosity takes the user to a wide range of unknown sites.  I know with dynamic IP assignment, 360 is a fast and convenient way to identify physical addresses for all of the devices I have on my network with logging on the router.  Backup to external drives or online to the Norton storage site is also supported. In fact, the only difference between the standard and Premium additions of this suite is the amount of basic online storage available, with the standard addition providing 2GB and the Premium 25GB. Users, however, with multi-device platforms including Macs and mobile devices would be better served by purchasing the Multi-device version of this software.

I am rather obsessive about running registry cleanup and 360 offers another utility to supplement the shareware app I use most regularly. I do so because I do think any one product successfully identifies all files that could be cleaned. Similarly, Startup manager is another utility that can be assessed elsewhere but is another convenience found in this product and scanning performance can be improved by adjustments available with Norton Insight.","I was looking for a product that will help minimize the potential for downtime and the user interface. I then used a power eraser to make my computer run more smoothly and quickly. After a while I saw the ""Invig"
desktop | sound | video | editing | software | past | go | detail | package | product | description | look | slide,"Corel VideoStudio Ultimate X8 installed on my desktop easily without any issues.  It has more options for themes, sound, video add ins compared to other video editing software I have used in the past.  Im not going into great detail as to what this package will do.  The product description covers this very well.  What I will tell you is this package works extremely well for me and I've managed to put together some pretty good looking videos.  I use video taken on my Canon 5D Mark III.  Time laps, straight video, and slide shows of my still photographs are just a few of the reasons I use this package.

All in all, if you are like me and do some video and mostly still images, this might be the package for you.",I have used Desktop for years and loved it............. BUT..... the video editing software stopped me from using it in the past and I have never had any issues with software like this one. I don't know what the future holds but
experience | accounting | product | version | redesign | point | past | payroll | tax | information | option | pay | service | order | look | cost | update,"My last experience with a Peachtree accounting product was the 2010 version. Their new Sage 50 2013 has encountered several drastic changes; while I do enjoy the redesign, I'm afraid I don't find all of their changes acceptable-even moral, to a point. In the past, payroll tax information could be entered manually. You had the option of paying for their automated service, but were not required to do so in order to enable the tax charts. In this version, you must pay for their automated service. If you're not willing to pay, your tax charts will not operate. If you're looking to pay one upfront cost you may want to look elsewhere. Otherwise, I find this update very worthwhile.",I have had experience with accounting products since I purchased this product. I have used it for years and it has been discontinued. I will update this product when I get older. I was first introduced to it in Madera in the early 90'
demo | site | email | software | lack | support,I downloaded the demo from their site. It didn't work. I sent them an email. They ignored it. So buggy software and lack of support. I bought Photoshop CS5. No issues. I never look back.,"I have been using Demonstrator when not writing this blog, but I did not find it yet, so I decided to look into it. I have an email from my friends, who aren't happy with how things are"
program | information | filing | include | tax | payee | peave | year | version | value | rebate | e | money | option | signature | edition | review | time | employee | motivation | shell,"I found the program to integrate quite well with Tax Cut 2003. The program transferred most vital information to my current filing including required federal tax payee numbers (a pet peave of mine from last year).

To me, the Deluxe version was the best value. It includes a rebate for the State program and for e-filing. It also offers a $5 rebate for itself unless you opt for the Microsoft 2005 Money option.

The signature edition was tempting but means little unless it is backed by a CPA. A review by a part-time H&R Block employee is little motivation for shelling out the additional %50.00.","I was excited to get this program because it is one of my favorite, ever. But since I'm a taxpayer, I can't find it anymore. So, instead of filing a tax return, I use this one instead"
experience | time | program | download | state | spend | day | hand | search,"Past experience with TurboTax was wonderful,
this time, not so.  The program would not let
me download updates, or my state returns.
Or would it let me print my returns. After
spending an entire day, I finally got my
taxes done.  I would have been better off
doing them by hand. An online search told
me that many others also experienced the same.",I had a wonderful experience at the Ritz-Carlton in Culver City and had a hard time finding it. Here are some of the best programs I've tried. I was able to download them from the Web and
fault | pc | pad | mini | device | laptop,"Maybe it's my fault but, I didn't see it can't be installed on Windows VISTA, which is what my seldom used PC is.  Didn't see anywhere that that it can't be.  Was pleased when I saw that it is also for tablets.  Planned to ised it on my i-pad mini.  Product can't be installed on that either.  So, my ""unlimited device"" Total Protection was only able to be installed on my 8.1 laptop.  Felt cheated.","I have a fault with PPC chipsets, and I have no idea how well they perform in real life. I have a pc pad and I have no idea how well they hold up well. I have"
copy | registation | key | run | version | feature | alway | subcription | subscription | price | user | box | untill | day | remainder | material | anybody | review | product | issue | cloud | password | vault | manager | pc | way | mistake | log | thing | reason | laptop | desktop | time | file | utility | export | quirk | software | lot,"I just bought another copy of the ""older"" N360 2013 for the new registation Key, but I've been running this newer ""2014"" version for a few months already. Norton has the nice feature of alway being able to upgrade to the latest version as long as your subcription is still current. I have a little over 2 months left on my current N360 subscription and saw the 2013 version available a  nice price here on Amazon, so I bought another 3PC one user box. I have to wait untill my current subscription expires or a day or so untill it does to enter the new KEY, because if I did it now, I would lose the remainder of my current subscription.

OK, I've said enough that is not really review material, but should be useful to anybody using Norton.
Review-wise, I think Norton 360 is a great product and works well for me. The only issue I have with it is the stupid cloud based  (these days) password ""vault"". I preferred the older, local  password manager, which on one of my PC's, is the way I still have it set up. I made the mistake of logging onto Symantec one day with my user ID and password, and it kind of ""Grabbed"" my password manager and made it the cloud based vault thing, which sounded OK, but when I logged into it with my Laptop, which had fewer log-ins and passwords, it for some crazy reason synched the cloud data FROM my laptop. When I used my desktop next time, the Cloud password data got synched TO my desktop and I lost 3/4 of my log ins and passwords. Fortunately, I back up my passwords to a local hardrive file with a built in, but awkward to find utility in Norton to import or export, and I was able to get it all back.
Other than that quirk. I like the software a while lot. It runs smotthly, and does not cause my PC's to crash. That IS pretty bad, but I was able to recover.",I was using this product for several years and found helpful restoring the original registation keys & ran through it......... The version with the Subcripti
